lat,lng,demand
-7.305918241,110.4166195,5232
-6.730548161,111.2183944,3953
-7.004784156,110.4078416,20523
-7.049834121,110.0329772,2411
-6.72055493,110.8886542,19047
-6.76257988,110.7230319,6506
-7.006731961,110.3909675,2710
-7.009588008,110.4731554,865131
-6.851179949,110.704958,6188
-6.490662805,111.0345111,3782
-6.79458351,110.8260004,33159
-6.621877604,110.671033,37921
-7.0129848,110.3645839,336
-6.795321089,110.8439755,322503
-7.178554211,111.4987233,6686
-6.716331876,111.1449432,63129
-6.981536723,110.4800098,209
-6.963515406,110.2507151,166235
-3.762110454,111.6,7578
1.111824119,103.9726268,33649
0.919481125,104.5777474,25708
-7.155866816,107.9431276,23976
-7.348401469,108.1160407,46266
-7.51309072,108.2679631,22106
-7.18425101,108.3546554,81028
-7.304619034,107.799629,27573
-5.108380579,105.3050956,23679
-4.2194019,105.6314572,325
-4.21336126,105.7387141,7212
-4.629281423,105.0901004,32130
-5.355613132,104.9779391,190818
-5.419375638,105.2577229,1066264
-5.118935053,105.3179618,239512
-6.83891171,107.9239751,19475
-6.940882944,107.7530249,7467
-6.907046064,107.6536743,714398
-6.925823698,107.6007229,342083
-6.93307542,107.6949161,44137
-6.901157697,107.5929349,241635
-6.889069385,107.5955709,73257
-6.78716671,108.0101166,51528
-6.470922701,107.798851,9825
-7.289002094,112.7807042,311537
-7.267894691,112.7002349,39531
-7.107144234,111.9290458,15195
-7.110530778,113.665077,23132
-7.118681807,112.4109638,22380
-7.275500438,112.8009642,44453
-6.89556336,112.00965,3054
-7.227523987,112.745497,761
-7.041540357,113.6903992,17215
-7.242368561,112.621831,5436
-7.094797378,113.24705,51370
-7.423949764,112.7215766,28378
-7.284722633,112.5999983,68698
-7.090302039,113.85694,83233
-6.817732767,111.9853064,5490
-6.908872013,112.1519259,23440
-7.255410062,112.7329521,63569
-7.515708383,112.4507201,2580
-7.14744754,111.7188669,4486
-7.544207644,112.3930289,7309
-7.396746916,112.6811748,56420
-7.140673326,111.7737636,4560
-0.896027228,119.8915575,15939
-0.706304524,119.8533264,7429
-0.904101187,119.8527973,60220
-0.678568553,119.7351638,17189
-2.025645655,121.3736411,79343
1.145942274,104.11919,210929
1.136635831,104.0293869,72229
-7.880581775,111.4629834,245680
-8.02109311,112.205766,12521
